k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
260,2005-05-21 16:19:50.735000+00:00,2043-02-01 08:42:56.586000+00:00,301,0.389617287966707,0.4736748611565838,0.3932149147727089,0.47866176768091206,0.0
248,2003-10-03 03:46:23.183000+00:00,2041-06-14 20:09:29.034000+00:00,324,0.3897642901397005,0.4670887432226551,0.3930536748960212,0.47170193344646505,0.0030864197530864196
261,2005-07-10 09:22:38.031000+00:00,2043-03-23 01:45:43.882000+00:00,312,0.390860418310781,0.46072970008940783,0.3922321043224303,0.4658943815823396,0.009615384615384616
262,2005-08-29 02:25:25.327000+00:00,2043-05-11 18:48:31.178000+00:00,324,0.39088877126206056,0.47426327438915183,0.39720657551564953,0.4798065603014536,0.0
277,2007-09-13 18:07:14.767000+00:00,2045-05-26 10:30:20.618000+00:00,223,0.3910656130482555,0.538692449651196,0.40739010051584806,0.5441450878990521,0.0
118,1986-01-22 19:43:54.703000+00:00,2023-10-05 12:07:00.554000+00:00,775,0.39428924070214194,0.530115852094576,0.4010538514681815,0.5348319738309346,0.0
258,2005-02-11 06:14:16.143000+00:00,2042-10-24 22:37:21.994000+00:00,280,0.39460794957175727,0.4726081198122401,0.39865347255781536,0.4777968609251179,0.017857142857142856
124,1986-11-17 02:00:38.479000+00:00,2024-07-29 18:23:44.330000+00:00,803,0.3976747066385605,0.5436837825069961,0.4037147407242963,0.5484241562724681,0.0024906600249066002
119,1986-03-13 12:46:41.999000+00:00,2023-11-24 05:09:47.850000+00:00,759,0.3978430603593956,0.5288817021361714,0.4028709336794712,0.5337965035923256,0.0
282,2008-05-19 07:21:11.247000+00:00,2046-01-29 23:44:17.098000+00:00,261,0.3989674987069545,0.5635042312980917,0.40115435429164137,0.5693242177032837,0.007662835249042145
249,2003-11-21 20:49:10.479000+00:00,2041-08-03 13:12:16.330000+00:00,324,0.4036442883699557,0.4834204844238975,0.40364428836995564,0.4884679880446715,0.006172839506172839
267,2006-05-04 15:39:21.807000+00:00,2044-01-15 08:02:27.658000+00:00,244,0.40542224948642513,0.48141999783962336,0.4080211385923092,0.48675826648197656,0.020491803278688523
257,2004-12-23 13:11:28.847000+00:00,2042-09-05 05:34:34.698000+00:00,292,0.40609467778046315,0.5013373754607147,0.4108502637778249,0.506395697720551,0.00684931506849315
116,1985-10-15 09:38:20.111000+00:00,2023-06-28 02:01:25.962000+00:00,791,0.4084094596273409,0.5557641076617581,0.416109567151981,0.5606030004550194,0.0
117,1985-12-04 02:41:07.407000+00:00,2023-08-16 19:04:13.258000+00:00,785,0.40855740010146435,0.5467273400411143,0.41329248839632166,0.5512014122273771,0.0025477707006369425
283,2008-07-08 00:23:58.543000+00:00,2046-03-20 16:47:04.394000+00:00,264,0.4089208679412457,0.5713767161180248,0.4143242778238946,0.5763188437108642,0.0
