source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
508,388,1.0,240,1.0,241,1.0
509,391,0.0013429770159453824,391,0.0013429770159453824,395,0.011112862486612802
510,391,0.001042007045497488,391,0.001042007045497488,397,0.010027031443790886
511,391,0.0014838052671471572,391,0.0014838052671471572,397,0.021971974474475672
512,392,0.0006086773558392923,392,0.0006086773558392923,397,0.008314970154070544
513,392,0.00263795888307728,392,0.00263795888307728,372,0.006559866306602204
514,391,0.003542473504599206,391,0.003542473504599206,395,0.01916502990598892
515,390,1.0,240,1.0,241,1.0
516,393,0.0038443834213621633,393,0.0038443834213621633,392,0.005870872332144702
517,392,0.0013831279894484312,392,0.0013831279894484312,393,0.00416009923575081
518,392,0.0008506483484569403,392,0.0008506483484569403,383,0.0010605714790042407
519,393,0.000940959016928665,393,0.000940959016928665,394,0.004248220895686375
520,393,0.0011025422323164976,393,0.0011025422323164976,392,0.002348871808332072
521,392,0.002049248860486807,392,0.002049248860486807,397,0.024116550317841826
522,394,0.0014205836538053272,394,0.0014205836538053272,393,0.00472992136386866
523,393,0.0006639400321904733,393,0.0006639400321904733,392,0.007922217371915818
524,394,0.0009686232369463597,394,0.0009686232369463597,372,0.011364657872058342
525,394,0.0008409490590135806,394,0.0008409490590135806,377,0.00829812933513769
526,395,0.00159183054405725,395,0.00159183054405725,383,0.018894979183265825
527,395,0.00750130198026639,395,0.00750130198026639,391,0.011892987832616508
528,391,1.0,240,1.0,241,1.0
529,391,0.01089144790415223,391,0.01089144790415223,397,0.01718319504780097
530,395,0.0010143537498697186,395,0.0010143537498697186,391,0.021193684264585955
531,375,0.20469849206303808,375,0.20469849206303808,240,1.0
532,396,0.0011841713704316005,396,0.0011841713704316005,397,0.01483077786335891
533,396,0.002320251690539566,396,0.002320251690539566,397,0.0072818686853886325
534,394,1.0,240,1.0,241,1.0
535,397,0.001016789333983025,397,0.001016789333983025,396,0.009094964017092052
